Data,Previsao_Z
2026-06-23,1.9338512720047243
2026-06-24,1.9289773062455267
2026-06-25,1.4855341606980226
2026-06-26,1.3546533996136654
2026-06-27,1.0887542782360526
2026-06-28,0.5115941824849338
2026-06-29,0.19408502380369377
2026-06-30,0.22253008164304502
2026-07-01,0.11948841377588992
2026-07-02,0.16691518013420345
2026-07-03,-0.034963939915717016
2026-07-04,0.11207740987632939
2026-07-05,0.01635831693959567
2026-07-06,-0.17884081489977027
2026-07-07,-0.15298018696152338
2026-07-08,-0.07405579991586633
2026-07-09,0.2303255813582133
2026-07-10,-0.08493367322949263
2026-07-11,-0.2061150920747689
2026-07-12,-0.4234686539858999
2026-07-13,-0.41288488966560216
2026-07-14,-0.11977885801708706
2026-07-15,0.024192161483733998
2026-07-16,0.037097599088635184
2026-07-17,0.06283467759098797
2026-07-18,-0.48196649831083155
2026-07-19,-0.2731901828371792
2026-07-20,-0.009484614394944753
2026-07-21,-0.05640401219042212
2026-07-22,-0.27568652499021196
2026-07-23,-0.20309657484181037
2026-07-24,-0.46330679622864224
2026-07-25,-0.23998345220831593
2026-07-26,-0.22006675058972108
2026-07-27,-0.007648698707265631
2026-07-28,0.048127495367903374
2026-07-29,0.13618134916911995
2026-07-30,0.022076375676262333
2026-07-31,0.1554424934620192
2026-08-01,0.2973907900860677
2026-08-02,0.15778029869603327
2026-08-03,-0.27371525976942374
2026-08-04,-0.4408571632868479
2026-08-05,-0.6193630586188988
2026-08-06,-0.13711991150128486
2026-08-07,-0.32282508724854225
2026-08-08,-0.27313013257997687
2026-08-09,-0.6718560447849942
2026-08-10,-0.8714540951482963
2026-08-11,-0.548533967690384
2026-08-12,-0.47916537092555767
2026-08-13,-0.1866304434862536
2026-08-14,-0.46570116918290283
2026-08-15,-0.6474166068035716
2026-08-16,-1.091519153817005
2026-08-17,-1.162192436880125
2026-08-18,-0.8628319961160894
2026-08-19,-1.307982904191868
2026-08-20,-1.3968813275621534
2026-08-21,-1.0199893526199715
2026-08-22,-1.0765811185026943
2026-08-23,-0.9886708858200313
2026-08-24,-1.0381179776722937
2026-08-25,-1.1686974680570268
2026-08-26,-1.0636500593488833
2026-08-27,-0.9120724555153906
2026-08-28,-0.5956896073743024
2026-08-29,-0.5186539349329757
2026-08-30,-0.28374648200120606
2026-08-31,-0.7992764769273218
2026-09-01,-1.0920587532748007
